inquiry_id,listing_id,listing_name,user_id
LIoJy95JUivA,LbFI5YpkyIoB,Male Bedspace for Rent near PNR Vito Cruz,Ucwr6X7uPqT9
LIMC16A5wTSN,LbAayjYnIY4M,J&J Eunice Bedspace,Ucwr6X7uPqT9
LI9KA99EmZdU,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UEF8QPiflsB6
LIHz2Imf3Yio,LbWt3oI9m7qJ,MyTown Tokyo,Ucwr6X7uPqT9
LIKR9M2Ozywp,LbZGV7F5Fvde,Apartment for Rent,UEF8QPiflsB6
LIY24Zo2cklb,Lbspik94PjrJ,Dormitory near UST,UEF8QPiflsB6
LIrB0B20Hw1w,Lbt03tcLQGMD,"Room for Rent near Taft, Vito Cruz, CSB, DLSU",Ug0510OxC596
LI4o5ifozdRB,Lbgcj4V8d5nY,St Anne Dormitory -solo room,UEF8QPiflsB6
LIqVyf4eohi2,LbA1SMI7ezgC,Male Bedspace for Rent in Quezon City at The Avenue Residences (2BR),U96Adaov1ZHZ
LIT8hZLWFSEB,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UHClvILb4HpI
LIegDQq39vO3,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UDdhwUVtYiyn
LIgng3jdHmMc,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",UUw4CvM1SAD3
LIXxnu26PrXD,LbEDv413n47a,FULLY FURNISHED CORNER UNIT @ SPAZIO BERNARDO,UUw4CvM1SAD3
LIS1hNJe7uWH,Lbx1R4QErmjF,Trees Residences,UDdhwUVtYiyn
LI8HXmhQAfIX,LbBmnbz8aagx,MyTown Amsterdam,UqXylQcERMUM
LIwNq55TuGwp,LbEDv413n47a,FULLY FURNISHED CORNER UNIT @ SPAZIO BERNARDO,Ul5HETPLn4aI
LI2gzynYDezY,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UotSsy6A7xUM
LIeHKKswrcI2,Lbt03tcLQGMD,"Room for Rent near Taft, Vito Cruz, CSB, DLSU",UDdhwUVtYiyn
LI206dH28X4q,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UDdhwUVtYiyn
LIrUWRcMPkot,Lbc3Ba0of1je,"20sqm studio apartment unit with t&b, kitchen",UDdhwUVtYiyn
LI0oxw9yG6sz,LbSWQSdsVeGo,Brand New Space / Condo / Bedspace in Taft - Ubelt || The Second House,UDdhwUVtYiyn
LIzVEPQCuHqL,Lbyu7MvkWKSS,Male Bedspace for Rent in Quezon City at The Avenue Residences,UVnZL9xRAvNw
LInOd33TOCbQ,LbkTvqH7N4ED,MyTown Istanbul,UaUu9Wz3WkjY
LIf99yGkr42g,LbrCm8s9V2s0,Bedspace for Rent in Recto near UBelt,UEo6HXJXgcqq
LIQ33auybBSr,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UEo6HXJXgcqq
LIPOPUGQsjny,LbAtAMmbOmfA,Vista Taft 1BR,UOPkkFp5Trar
LIHmtY7nDOgC,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UNNI8872JhOz
LI8CtLAvQuxD,LbaBI3IYegK6,MyTown Los Angeles,Ucqg8DUMTKV7
